data_level,database_path,name,review_scope,rows,sql_schema,table_id
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,prior_changes,see_preserved_release_review_status,760,"CREATE TABLE prior_changes (change_id TEXT PRIMARY KEY, prior_id TEXT REFERENCES prior_parameters, previous_version TEXT, new_version TEXT, previous_parameters TEXT, new_parameters TEXT, reason TEXT)",ATLAS_TABLE:prior_changes
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,prior_parameters,see_preserved_release_review_status,1400,"CREATE TABLE prior_parameters (prior_id TEXT PRIMARY KEY, assertion_id TEXT REFERENCES edge_assertions, parameter_family TEXT, distribution TEXT, parameters TEXT, estimate REAL, estimate_without_journal REAL, independent_groups INTEGER, calibration_status TEXT, availability TEXT, rationale TEXT)",ATLAS_TABLE:prior_parameters
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,protein_modifications,see_preserved_release_review_status,7,"CREATE TABLE protein_modifications (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, protein_entity_id TEXT REFERENCES entities, modification TEXT, site TEXT, measurement_method TEXT)",ATLAS_TABLE:protein_modifications
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,proteomic_observations,see_preserved_release_review_status,70,"CREATE TABLE proteomic_observations (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, target_entity_id TEXT REFERENCES entities, measurement TEXT, platform TEXT, biological_matrix TEXT, reagent TEXT, isoform TEXT, limit_of_detection TEXT, normalization TEXT, peptide_uniqueness TEXT, localization TEXT, cross_reactivity TEXT)",ATLAS_TABLE:proteomic_observations
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,quantitative_results,see_preserved_release_review_status,15,"CREATE TABLE quantitative_results (result_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, reported_result TEXT, interpretation TEXT)",ATLAS_TABLE:quantitative_results
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,regulatory_evidence,see_preserved_release_review_status,4,"CREATE TABLE regulatory_evidence (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, regulatory_element_id TEXT REFERENCES entities, perturbation TEXT, measured_outcome TEXT)",ATLAS_TABLE:regulatory_evidence
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,release_changes,see_preserved_release_review_status,942,"CREATE TABLE release_changes (change_id TEXT PRIMARY KEY, record_type TEXT, record_id TEXT, previous_version TEXT, new_version TEXT, change_type TEXT, old_record TEXT, new_record TEXT)",ATLAS_TABLE:release_changes
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,samples,see_preserved_release_review_status,0,"CREATE TABLE samples (sample_id TEXT PRIMARY KEY, cohort_id TEXT REFERENCES cohorts, dataset_id TEXT REFERENCES datasets, donor_id TEXT, context_id TEXT REFERENCES contexts, notes TEXT)",ATLAS_TABLE:samples
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,screening_candidates,see_preserved_release_review_status,408,"CREATE TABLE screening_candidates (candidate_id TEXT PRIMARY KEY, query_id TEXT, title TEXT, url TEXT, doi TEXT, pmid TEXT, decision TEXT, reason TEXT, lane TEXT)",ATLAS_TABLE:screening_candidates
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,screening_decisions,see_preserved_release_review_status,51,"CREATE TABLE screening_decisions (screening_id TEXT PRIMARY KEY, source_id TEXT REFERENCES source_registry, decision TEXT, reason TEXT, stage TEXT, reviewer_role TEXT)",ATLAS_TABLE:screening_decisions
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,search_log,see_preserved_release_review_status,135,"CREATE TABLE search_log (search_id TEXT PRIMARY KEY, lane TEXT, query TEXT, database TEXT, searched_at TEXT, result_source_ids TEXT, screening_notes TEXT, snapshot_path TEXT, total_hits TEXT, returned_pmids TEXT, retrieval_limit TEXT)",ATLAS_TABLE:search_log
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,source_registry,see_preserved_release_review_status,104,"CREATE TABLE source_registry (source_id TEXT PRIMARY KEY, title TEXT NOT NULL, authors TEXT, year TEXT, url TEXT NOT NULL, doi TEXT, pmid TEXT, source_type TEXT, version TEXT, retrieved_at TEXT, access_level TEXT, snapshot_path TEXT, snapshot_sha256 TEXT, species TEXT, notes TEXT, ingestion_status TEXT, duplicate_of TEXT)",ATLAS_TABLE:source_registry
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,transcriptional_programs,see_preserved_release_review_status,0,"CREATE TABLE transcriptional_programs (program_id TEXT PRIMARY KEY, entity_id TEXT REFERENCES entities, definition TEXT, measured_or_inferred TEXT, evidence_id TEXT REFERENCES evidence_instances)",ATLAS_TABLE:transcriptional_programs
curated_or_derived_atlas_data,atlas/candidates/0.3.0/immune_candidate.sqlite,transcriptomic_observations,see_preserved_release_review_status,25,"CREATE TABLE transcriptomic_observations (record_id TEXT PRIMARY KEY, evidence_id TEXT REFERENCES evidence_instances, observation_type TEXT, target_entity_id TEXT REFERENCES entities, assay TEXT, donor_model TEXT, multiple_testing TEXT, composition_qc TEXT)",ATLAS_TABLE:transcriptomic_observations
