Entry	Entry Name	Reviewed	Gene Names (primary)	Gene Names	Protein names	Organism (ID)	Keyword ID	Gene Ontology IDs
Q8NHW4	CC4L_HUMAN	reviewed	CCL4L1; CCL4L2	CCL4L1 CCL4L LAG1 SCYA4L1; CCL4L2 CCL4L SCYA4L2	C-C motif chemokine 4-like (Lymphocyte activation gene 1 protein) (LAG-1) (Macrophage inflammatory protein 1-beta) (MIP-1-beta) (Monocyte adherence-induced protein 5-alpha) (Small-inducible cytokine A4-like)	9606	KW-0025; KW-0145; KW-0202; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005576; GO:0006954; GO:0008009; GO:0030335; GO:0048020; GO:0048245; GO:0061844; GO:0070098
Q8TAD2	IL17D_HUMAN	reviewed	IL17D	IL17D UNQ3096/PRO21175	Interleukin-17D (IL-17D) (Interleukin-27) (IL-27)	9606	KW-0202; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0006954; GO:0032725; GO:0032755; GO:0032757; GO:0042803; GO:0048018; GO:1900017; GO:1903707
Q8TAZ6	CKLF2_HUMAN	reviewed	CMTM2	CMTM2 CKLFSF2	CKLF-like MARVEL transmembrane domain-containing protein 2 (Chemokine-like factor superfamily member 2)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0812; KW-1133	GO:0016020
Q8WVN6	SCTM1_HUMAN	reviewed	SECTM1	SECTM1 K12	Secreted and transmembrane protein 1 (Protein K-12)	9606	KW-1003; KW-1015; KW-0325; KW-0472; KW-1267; KW-1185; KW-0964; KW-0732; KW-0812; KW-1133	GO:0002726; GO:0005125; GO:0005576; GO:0005794; GO:0005886; GO:0006955; GO:0007498; GO:0016020; GO:0043123; GO:0048018; GO:0070062
Q8WWZ1	IL1FA_HUMAN	reviewed	IL1F10	IL1F10 FIL1T IL1HY2 IL38 FKSG75 UNQ6119/PRO20041	Interleukin-1 family member 10 (IL-1F10) (Family of interleukin 1-theta) (FIL1 theta) (Interleukin-1 HY2) (IL-1HY2) (Interleukin-1 theta) (IL-1 theta) (Interleukin-38) (IL-38)	9606	KW-0002; KW-0025; KW-0202; KW-0963; KW-1267; KW-1185; KW-0964	GO:0005125; GO:0005149; GO:0005576; GO:0005737; GO:0006954; GO:0006955; GO:0019221; GO:0071222
Q92520	FAM3C_HUMAN	reviewed	FAM3C	FAM3C ILEI GS3786	Protein FAM3C (Interleukin-like EMT inducer)	9606	KW-0002; KW-0968; KW-0217; KW-1015; KW-0430; KW-0553; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005125; GO:0005576; GO:0005794; GO:0007165; GO:0031089; GO:0070062
Q92583	CCL17_HUMAN	reviewed	CCL17	CCL17 SCYA17 TARC	C-C motif chemokine 17 (CC chemokine TARC) (Small-inducible cytokine A17) (Thymus and activation-regulated chemokine)	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0395; KW-1267; KW-1185; KW-0964; KW-0732	GO:0005102; GO:0005576; GO:0006935; GO:0006955; GO:0007267; GO:0008009; GO:0060326
Q92838	EDA_HUMAN	reviewed	EDA	EDA ED1 EDA2	Ectodysplasin-A (Ectodermal dysplasia protein) (EDA protein) [Cleaved into: Ectodysplasin-A, membrane form; Ectodysplasin-A, secreted form]	9606	KW-0002; KW-0025; KW-1003; KW-0165; KW-0176; KW-0202; KW-0217; KW-0221; KW-0225; KW-1015; KW-0038; KW-0325; KW-0472; KW-1267; KW-1185; KW-0964; KW-0735; KW-0812; KW-1133	GO:0005102; GO:0005123; GO:0005125; GO:0005164; GO:0005576; GO:0005856; GO:0005886; GO:0006955; GO:0016020; GO:0019221; GO:0038177; GO:0042475; GO:0042476; GO:0043123; GO:1901222
Q93097	WNT2B_HUMAN	reviewed	WNT2B	WNT2B WNT13	Protein Wnt-2b (Protein Wnt-13)	9606	KW-0025; KW-0217; KW-0225; KW-1015; KW-0272; KW-0325; KW-0449; KW-1267; KW-1185; KW-0964; KW-0732; KW-0879	GO:0002062; GO:0002088; GO:0005109; GO:0005125; GO:0005576; GO:0008584; GO:0021871; GO:0030182; GO:0031012; GO:0045165; GO:0060070; GO:0061072; GO:0061303; GO:0071425
Q93098	WNT8B_HUMAN	reviewed	WNT8B	WNT8B	Protein Wnt-8b	9606	KW-0217; KW-1015; KW-0272; KW-0325; KW-0449; KW-1185; KW-0964; KW-0732; KW-0879	GO:0005109; GO:0005125; GO:0005576; GO:0007165; GO:0007369; GO:0007399; GO:0030182; GO:0032355; GO:0032526; GO:0045165; GO:0048018; GO:0048263; GO:0060070; GO:0071300
Q969D9	TSLP_HUMAN	reviewed	TSLP	TSLP	Thymic stromal lymphopoietin	9606	KW-0002; KW-0025; KW-0202; KW-1015; KW-0325; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001961; GO:0005125; GO:0005139; GO:0005576; GO:0007259; GO:0008284; GO:0019221; GO:0032722; GO:0032733; GO:0032736; GO:0032754; GO:0032755; GO:0033005; GO:0038111; GO:0043066; GO:0050729; GO:0050829; GO:0050832; GO:0061844; GO:0071654; GO:0071657; GO:1904894
Q96DZ9	CKLF5_HUMAN	reviewed	CMTM5	CMTM5 CKLFSF5	CKLF-like MARVEL transmembrane domain-containing protein 5 (Chemokine-like factor superfamily member 5)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0812; KW-1133	GO:0016020
Q96FZ5	CKLF7_HUMAN	reviewed	CMTM7	CMTM7 CKLFSF7	CKLF-like MARVEL transmembrane domain-containing protein 7 (Chemokine-like factor superfamily member 7)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0812; KW-1133	GO:0016020
Q96MX0	CKLF3_HUMAN	reviewed	CMTM3	CMTM3 CKLFSF3	CKLF-like MARVEL transmembrane domain-containing protein 3 (Chemokine-like factor superfamily member 3)	9606	KW-0025; KW-0145; KW-0202; KW-0472; KW-1267; KW-1185; KW-0812; KW-1133	GO:0005829; GO:0016020; GO:0031410; GO:0031965
Q96PD4	IL17F_HUMAN	reviewed	IL17F	IL17F	Interleukin-17F (IL-17F) (Cytokine ML-1)	9606	KW-0002; KW-1064; KW-0202; KW-0903; KW-0225; KW-1015; KW-0325; KW-0391; KW-0395; KW-0399; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001819; GO:0002225; GO:0005125; GO:0005126; GO:0005576; GO:0005886; GO:0006954; GO:0016525; GO:0017015; GO:0019955; GO:0032645; GO:0032663; GO:0032675; GO:0032677; GO:0032755; GO:0032761; GO:0042803; GO:0046982; GO:0050829; GO:0050830; GO:0051216; GO:0070534; GO:0072538; GO:0097400; GO:2000340
Q96S42	NODAL_HUMAN	reviewed	NODAL	NODAL	Nodal homolog	9606	KW-0002; KW-0165; KW-0202; KW-0217; KW-0225; KW-1015; KW-0325; KW-0339; KW-1056; KW-1267; KW-1185; KW-0964; KW-0732	GO:0001890; GO:0003140; GO:0005125; GO:0005576; GO:0007565; GO:0008083; GO:0010575; GO:0016015; GO:0022409; GO:0030154; GO:0035987; GO:0038092; GO:0045766; GO:0045944; GO:0048382; GO:0050679; GO:0060391; GO:0060766; GO:0070374; GO:0070698; GO:0097190; GO:1901164; GO:1901383; GO:2000036
Q99616	CCL13_HUMAN	reviewed	CCL13	CCL13 MCP4 NCC1 SCYA13	C-C motif chemokine 13 (CK-beta-10) (Monocyte chemoattractant protein 4) (Monocyte chemotactic protein 4) (MCP-4) (NCC-1) (Small-inducible cytokine A13) [Cleaved into: C-C motif chemokine 13, long chain; C-C motif chemokine 13, medium chain; C-C motif chemokine 13, short chain]	9606	KW-0002; KW-0145; KW-0202; KW-0903; KW-1015; KW-0395; KW-1267; KW-0873; KW-1185; KW-0964; KW-0732	GO:0005102; GO:0005576; GO:0006874; GO:0006935; GO:0006954; GO:0007010; GO:0007165; GO:0007267; GO:0008009; GO:0008360; GO:0030335; GO:0031640; GO:0048020; GO:0048245; GO:0061844; GO:0070098
